Type,Keyword,Description
artist,by Thomas kinkade,"painter of popular realistic, pastoral, and idyllic subjects"
artist,by Anato Finnstark,mediaeval fantasy character illustration
artist,by John Howe,fantasy illustration concept design
artist,by Don Maitz,"science fiction, fantasy, and commercial artist"
artist,by Albert Bierstadt,"painter best known for his lavish, sweeping landscapes of the American West"
artist,by Frederic Edwin Church,"best known for painting large landscapes, often depicting mountains, waterfalls, and sunsets"
artist,by Thomas Cole,landscape and history oil paintings on canvas
artist,by James Paick,scene contains ruined building and sci-fi design
artist,by Federico Pelat,3D detailed sci-fi design in space
artist,by Wayne Barlowe,esoteric landscapes and creatures fantasy painting
artist,by Bastien Lecouffe-Deharme,"digital painter mainly in science-fiction, cyberpunk and dark fantasy genre"
artist,by Stanislav Poltavsky,heavy armor character design
artist,by Angela Sung,country landscape with Digital Paintings and Gouache Paintings
artist,by Hubert Robert,Romanticism landscape and semi-fictitious picturesque depictions of ruins
artist,by Hugh Ferriss,modern urban architectt
artist,by Ivan Aivazovsky,primarily Romantic some Realistic elements marine art
artist,by Kuvshinov,anime style character design
artist,by Abbott Fuller Graves,"painter and illustrator who specialized in decorative open air garden paintings and floral still lifes. His use of thick brushstrokes, bright colors, and natural light shows the influence of European impressionism"
artist,by Adolf Hiremy-Hirschl,"historical and mythological painting, particularly of subjects pertaining to ancient Rome"
artist,by Akihiko Yoshida,anime style fantastic fantasy character design
artist,by Albert Lynch,"women protrait drawn with  pastel, gouache and watercolor"
artist,by Albrecht Anker,traditional painter mainly draw 19th-century Swiss village life
artist,by Albrecht Durer,traditional Christian art
artist,by Alex Horley,anime fantasy character design
artist,by Alex Maleev,comic book illustrator
artist,by Alexandr Averin,"genre scenes with young ladies against blossoming meadows and gardens, shady river coasts, and sea landscapes. Plot of the paintings is filled with sincere warmth and cordial feelings towards children."
artist,by Alexandre Cabanel,"He painted historical, classical and religious subjects in the academic style"
artist,by Thomas Benjamin Kennington,"British genre, social realist and portrait painter"
artist,by Abraham Pether,"English landscape painter, recognised for his skill in depicting moonlit scenes"
artist,by Adam Elsheimer,"Baroque paintings include a variety of light effects, and an innovative treatment of landscape "
artist,by Adriaen van Outrecht,"Flemish painter known mainly for his sumptuous banquet still lifes, game and fruit still lifes, fruit garlands, market and kitchen scenes and depictions of live poultry in farmyards"
artist,by Afarin Sajedi,"She draws theatrical characters, colorful face like a clown"
artist,by Alan Bean,astronaut on planet  painting with moondust
artist,by Emmanuel Shiu,sci-fi character and landscape design
artist,by James Gurney,"realistic renderings of fantastic scenes, oil painting, academic realism, Golden Age illustrators"
artist,by Greg Rutkowski,mediaeval fantasy scene with oil painting 
artist,by Bartolome Esteban Murillo,"paintings of contemporary women and children, realist portraits"
artist,by Ben Aronson,Aronson's painterly urban landscapes combine precise realism with gestural immediacy and Abstract Expressionist energy
artist,by Camille Corot,landscape and portrait painter as well as a printmaker in etching simultaneously referenced the Neo-Classical tradition and anticipated the plein-air innovations of Impressionism
artist,by Canaletto,"Painter of city views or vedute, also painted imaginary views"
artist,by Carl Barks,Oil paintings of his duck characters
artist,by Carl Larsson,"Swedish painter representative of the Arts and Crafts movement. His many paintings include oils, watercolors, and frescoes"
artist,by Daniel Garber,Impressionist landscape painter
artist,by Daniel Ridgway Knight,artist painted peasant women out of doors with great popular success
artist,by Daniele Afferni,American comic book superhero character art
artist,by Dante Gabriel Rossetti,characterised by its sensuality and its medieval revivalism
artist,by Eddie Mendoza,"environment design, keyframe illustration, and vehicle design"
artist,by Ellen Jewett,exquisite fantasy animal sculpture
artist,by Eugene von Guerard,finely detailed landscapes in the tradition of the Dusseldorf school of painting
artist,by Fenghua Zhong,Chinese fantasy character scene 
artist,by Ferdinand Knab,ruined architect landscape oil painting
artist,by Frederic Church,"put an emphasis on realistic detail, dramatic light, and panoramic views"
artist,by Frederick McCubbin,traditional art of forest
artist,by Gerald Brom,evil woman character design
artist,by Guido Borelli Da Caluso,beautiful country landscape paintings
artist,by Greg Simkins,sought-after surrealist painter today
artist,by Hasui Kawase,"prominent designer of the earlier ukiyo-e prints, depicted traditional subjects, Western art"
artist,by Hirohiko Araki,idiographic Japanese comic illustration
artist,by Hou China,fantasy character design
artist,by Ilya Kuvshinov,"digital artist, paint anime girl, using lots of highlight in artwork"
artist,by Ivan Shishkin,"oil painter, paint many works about forest"
artist,by Issac Levitan,"oil painter, paint landscape, there is often a river in his work"
artist,by Jacob van Ruisdael,"oil painter, paint landscape, there is often a windmill in his work"
artist,by Jake Parker,"comics artist, draw cartoon, characters most are robots"
artist,by Keith Parkinson,"fantasy artist, paint fantasy creatures, dragons"
